koostisosa
bataat
brokoli
frikadellid
hakkliha
hapukoor
herned
jahu
juust
kanaliha
kapsas
kartul
küüslauk
majonees
muna
oad
oliiviõli
paprika
pasta
pesto
piim
pipar
porgand
puljong
riis
sai
salat
sealiha
sibul
sool
suhkur
suvikõrvits
tomat
tomatikaste
tomatipasta
tortilla
tuunikala
vahukoor
viiner
või
